campaign,case_id,tier,server,role,reference,teacher_seed,student_seed,profile,updates,lambda_con,alpha,beta,lambda_edge,student_a_peak_lr,dependency,status,run_id,activation,architecture_contract
PANDA_GF2_G20_ALL5_20260920_v1,G20-S07,CORE,s2,S,R4,91002,93001,BASE,50000,0.0003,1.0,0.1,0.002,3e-06,R4_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S2_R4_TS91002_SS93001_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S08,CORE,s2,S,R4,91002,93002,BASE,50000,0.0003,1.0,0.1,0.002,3e-06,R4_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S2_R4_TS91002_SS93002_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S09,CORE,s2,S,R3,91002,93002,BASE,50000,3e-05,1.0,0.1,0.002,3e-06,R3_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S2_R3_TS91002_SS93002_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S10,CORE,s2,S,R2,91002,93002,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R2_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S2_R2_TS91002_SS93002_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S11,CORE,s3,S,R0,91001,93001,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S3_R0_TS91001_SS93001_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S12,CORE,s3,S,R0,91001,93001,A1,50000,0.0001,1.0,0.1,0.002,1e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S3_R0_TS91001_SS93001_A1_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S13,CORE,s3,S,R0,91001,93001,A9,50000,0.0001,1.0,0.1,0.002,9e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S3_R0_TS91001_SS93001_A9_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S14,CORE,s3,S,R0,91001,93002,A9,50000,0.0001,1.0,0.1,0.002,9e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S3_R0_TS91001_SS93002_A9_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S15,CORE,s3,S,R0,91001,93002,A1,50000,0.0001,1.0,0.1,0.002,1e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S3_R0_TS91001_SS93002_A1_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S16,CORE,s3,S,R0,91001,93002,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S3_R0_TS91001_SS93002_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S17,CORE,s4,S,R0,91001,93001,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S4_R0_TS91001_SS93001_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S18,CORE,s4,S,R0,91001,93001,E1,50000,0.0001,1.0,0.1,0.001,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S4_R0_TS91001_SS93001_E1_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S19,CORE,s4,S,R0,91001,93001,E4,50000,0.0001,1.0,0.1,0.004,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S4_R0_TS91001_SS93001_E4_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S20,CORE,s4,S,R0,91001,93002,E4,50000,0.0001,1.0,0.1,0.004,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S4_R0_TS91001_SS93002_E4_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S21,CORE,s4,S,R0,91001,93002,E1,50000,0.0001,1.0,0.1,0.001,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S4_R0_TS91001_SS93002_E1_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S22,CORE,s4,S,R0,91001,93002,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S4_R0_TS91001_SS93002_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S23,CORE,s5,S,R0,91001,93001,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S5_R0_TS91001_SS93001_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S24,CORE,s5,S,R0,91001,93001,K05,50000,0.0001,1.0,0.05,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S5_R0_TS91001_SS93001_K05_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S25,CORE,s5,S,R0,91001,93001,K20,50000,0.0001,1.0,0.2,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S5_R0_TS91001_SS93001_K20_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S26,CORE,s5,S,R0,91001,93002,K20,50000,0.0001,1.0,0.2,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S5_R0_TS91001_SS93002_K20_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S27,CORE,s5,S,R0,91001,93002,K05,50000,0.0001,1.0,0.05,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S5_R0_TS91001_SS93002_K05_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-S28,CORE,s5,S,R0,91001,93002,BASE,50000,0.0001,1.0,0.1,0.002,3e-06,R0_BUNDLE_VALIDATED,PLANNED,G20_GF2_S_S5_R0_TS91001_SS93002_BASE_PLH_W104_D122_FRESH50_v1,P0_PASS_AND_PAIRED_SEED_BLOCK_FITS,T=P0_W112_D123;S=PLH_W104_D122;C=4;NO_ARCH_CHANGE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C01,CONDITIONAL_CONFIRM,s1,S,R0,91001,93011,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S1_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S1_R0_SS93011_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C02,CONDITIONAL_CONFIRM,s1,S,R1,91002,93011,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S1_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S1_R1_SS93011_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C03,CONDITIONAL_CONFIRM,s1,S,R1,91002,93012,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S1_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S1_R1_SS93012_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C04,CONDITIONAL_CONFIRM,s1,S,R0,91001,93012,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S1_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S1_R0_SS93012_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C05,CONDITIONAL_CONFIRM,s2,S,R2,91002,93011,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S2_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S2_R2_SS93011_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C06,CONDITIONAL_CONFIRM,s2,S,R_CSTAR,91002,93011,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S2_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S2_R_CSTAR_SS93011_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C07,CONDITIONAL_CONFIRM,s2,S,R_CSTAR,91002,93012,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S2_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S2_R_CSTAR_SS93012_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C08,CONDITIONAL_CONFIRM,s2,S,R2,91002,93012,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S2_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S2_R2_SS93012_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C09,CONDITIONAL_CONFIRM,s3,S,R0,91001,93011,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S3_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S3_R0_SS93011_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C10,CONDITIONAL_CONFIRM,s3,S,R0,91001,93011,S3_XSTAR,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S3_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S3_R0_SS93011_S3_XSTAR_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C11,CONDITIONAL_CONFIRM,s3,S,R0,91001,93012,S3_XSTAR,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S3_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S3_R0_SS93012_S3_XSTAR_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C12,CONDITIONAL_CONFIRM,s3,S,R0,91001,93012,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S3_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S3_R0_SS93012_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C13,CONDITIONAL_CONFIRM,s4,S,R0,91001,93011,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S4_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S4_R0_SS93011_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C14,CONDITIONAL_CONFIRM,s4,S,R0,91001,93011,S4_XSTAR,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S4_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S4_R0_SS93011_S4_XSTAR_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C15,CONDITIONAL_CONFIRM,s4,S,R0,91001,93012,S4_XSTAR,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S4_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S4_R0_SS93012_S4_XSTAR_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C16,CONDITIONAL_CONFIRM,s4,S,R0,91001,93012,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S4_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S4_R0_SS93012_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C17,CONDITIONAL_CONFIRM,s5,S,R0,91001,93011,BASE,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S5_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S5_R0_SS93011_BASE_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C18,CONDITIONAL_CONFIRM,s5,S,R0,91001,93011,S5_XSTAR,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S5_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S5_R0_SS93011_S5_XSTAR_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
PANDA_GF2_G20_ALL5_20260920_v1,G20-C19,CONDITIONAL_CONFIRM,s5,S,R0,91001,93012,S5_XSTAR,50000,RESOLVE_FROM_BUNDLE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,RESOLVE_FROM_PROFILE,SCREEN_DECISION_S5_AND_REFERENCE_VALIDATED,NOT_ADMITTED,G20_GF2_CONFIRM_S5_R0_SS93012_S5_XSTAR_FRESH50_v1,ONE_LOCKED_SCREEN_WINNER_PER_SERVER_AND_FULL_TWO_SEED_CONFIRM_BLOCK_FITS,S=PLH_W104_D122;C=4;NO_ARCH_CHANGE;RESOLVE_ONLY_ALLOWED_PROFILE
