case_id,kind,role,server,tier,eligible_when,block_ids,layout,input_channels,width,depth,teacher_ref_alias,teacher_seed,student_seed,profile,total_updates,teacher_run_id,teacher_checkpoint_sha256,lr_U_peak,lr_A_peak,A_multiplier_after_10000,alpha,beta,lambda_E,planned_config_path,status
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73102_BASE_FRESH50_v1,TRAIN,S,s1,CORE,ALWAYS,"[""FH20R1_S1_B02""]",PLH,11,104,"[1, 2, 2]",F1,71001,73102,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73102_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73103_A10_FRESH50_v1,TRAIN,S,s1,CORE,S1_A_SUPPORT,"[""FH20R1_S1_B03""]",PLH,11,104,"[1, 2, 2]",F1,71001,73103,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73103_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73103_BASE_FRESH50_v1,TRAIN,S,s1,CORE,ALWAYS,"[""FH20R1_S1_B03""]",PLH,11,104,"[1, 2, 2]",F1,71001,73103,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73103_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73104_A10_FRESH50_v1,TRAIN,S,s1,CORE,S1_A_SUPPORT,"[""FH20R1_S1_B04""]",PLH,11,104,"[1, 2, 2]",F1,71001,73104,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73104_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73104_BASE_FRESH50_v1,TRAIN,S,s1,CORE,ALWAYS,"[""FH20R1_S1_B04""]",PLH,11,104,"[1, 2, 2]",F1,71001,73104,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73104_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73105_A10_FRESH50_v1,TRAIN,S,s1,CORE,S1_A_SUPPORT,"[""FH20R1_S1_B05""]",PLH,11,104,"[1, 2, 2]",F1,71001,73105,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73105_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73105_BASE_FRESH50_v1,TRAIN,S,s1,CORE,ALWAYS,"[""FH20R1_S1_B05""]",PLH,11,104,"[1, 2, 2]",F1,71001,73105,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73105_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73106_A10_FRESH50_v1,TRAIN,S,s1,CORE,S1_A_SUPPORT,"[""FH20R1_S1_B06""]",PLH,11,104,"[1, 2, 2]",F1,71001,73106,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73106_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73106_BASE_FRESH50_v1,TRAIN,S,s1,CORE,ALWAYS,"[""FH20R1_S1_B06""]",PLH,11,104,"[1, 2, 2]",F1,71001,73106,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73106_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73107_A10_FRESH50_v1,TRAIN,S,s1,CORE,S1_A_SUPPORT,"[""FH20R1_S1_B07""]",PLH,11,104,"[1, 2, 2]",F1,71001,73107,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73107_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73107_BASE_FRESH50_v1,TRAIN,S,s1,CORE,ALWAYS,"[""FH20R1_S1_B07""]",PLH,11,104,"[1, 2, 2]",F1,71001,73107,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73107_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73108_BASE_FRESH50_v1,TRAIN,S,s1,RESERVE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B08""]",PLH,11,104,"[1, 2, 1]",F1,71001,73108,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73108_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73109_BASE_FRESH50_v1,TRAIN,S,s1,RESERVE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B09""]",PLH,11,104,"[1, 2, 1]",F1,71001,73109,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73109_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73110_BASE_FRESH50_v1,TRAIN,S,s1,RESERVE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B10""]",PLH,11,104,"[1, 2, 1]",F1,71001,73110,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73110_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73111_BASE_FRESH50_v1,TRAIN,S,s1,RESERVE,S1_NO_A_SUPPORT_OR_INCONCLUSIVE,"[""FH20R1_S1_B11""]",PLH,11,104,"[1, 2, 1]",F1,71001,73111,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D121_WV3_TF1_TS71001_SS73111_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73108_A10_FRESH50_v1,TRAIN,S,s1,RESERVE,S1_A_SUPPORT,"[""FH20R1_S1_B08""]",PLH,11,104,"[1, 2, 2]",F1,71001,73108,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73108_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73108_BASE_FRESH50_v1,TRAIN,S,s1,RESERVE,ALWAYS,"[""FH20R1_S1_B08""]",PLH,11,104,"[1, 2, 2]",F1,71001,73108,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73108_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73109_A10_FRESH50_v1,TRAIN,S,s1,RESERVE,S1_A_SUPPORT,"[""FH20R1_S1_B09""]",PLH,11,104,"[1, 2, 2]",F1,71001,73109,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73109_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73109_BASE_FRESH50_v1,TRAIN,S,s1,RESERVE,ALWAYS,"[""FH20R1_S1_B09""]",PLH,11,104,"[1, 2, 2]",F1,71001,73109,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73109_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73110_A10_FRESH50_v1,TRAIN,S,s1,RESERVE,S1_A_SUPPORT,"[""FH20R1_S1_B10""]",PLH,11,104,"[1, 2, 2]",F1,71001,73110,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73110_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73110_BASE_FRESH50_v1,TRAIN,S,s1,RESERVE,ALWAYS,"[""FH20R1_S1_B10""]",PLH,11,104,"[1, 2, 2]",F1,71001,73110,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73110_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73111_A10_FRESH50_v1,TRAIN,S,s1,RESERVE,S1_A_SUPPORT,"[""FH20R1_S1_B11""]",PLH,11,104,"[1, 2, 2]",F1,71001,73111,A10,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,0.3333333333333333,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73111_A10_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73111_BASE_FRESH50_v1,TRAIN,S,s1,RESERVE,ALWAYS,"[""FH20R1_S1_B11""]",PLH,11,104,"[1, 2, 2]",F1,71001,73111,BASE,50000,FH12_S1_T_P0_W112_D123_WV3_S71001_FRESH50_v1,04ef8e756ae8b229c67ef14daf1912f0658f2e5c8bfe30afa9e0b476486fc519,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S1_S_PLH_W104_D122_WV3_TF1_TS71001_SS73111_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS72001_BASE_FRESH50_v1,TRAIN,S,s2,CORE,S2_DONOR_OR_REFERENCE_UNAVAILABLE,"[""FH20R1_S2_B01""]",PLH,11,104,"[1, 2, 2]",F2,71001,72001,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS72001_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS73201_BASE_FRESH50_v1,TRAIN,S,s2,CORE,S2_DONOR_OR_REFERENCE_UNAVAILABLE,"[""FH20R1_S2_B02""]",PLH,11,104,"[1, 2, 2]",F2,71001,73201,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS73201_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS73202_BASE_FRESH50_v1,TRAIN,S,s2,CORE,S2_DONOR_OR_REFERENCE_UNAVAILABLE,"[""FH20R1_S2_B03""]",PLH,11,104,"[1, 2, 2]",F2,71001,73202,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS73202_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS73203_BASE_FRESH50_v1,TRAIN,S,s2,CORE,S2_DONOR_OR_REFERENCE_UNAVAILABLE,"[""FH20R1_S2_B04""]",PLH,11,104,"[1, 2, 2]",F2,71001,73203,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS73203_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS73204_BASE_FRESH50_v1,TRAIN,S,s2,CORE,S2_DONOR_OR_REFERENCE_UNAVAILABLE,"[""FH20R1_S2_B05""]",PLH,11,104,"[1, 2, 2]",F2,71001,73204,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PLH_W104_D122_WV3_TF2_TS71001_SS73204_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS72001_BASE_FRESH50_v1,TRAIN,S,s2,CORE,ALWAYS,"[""FH20R1_S2_B01""]",PL,10,104,"[1, 2, 2]",F2,71001,72001,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS72001_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS73201_BASE_FRESH50_v1,TRAIN,S,s2,CORE,ALWAYS,"[""FH20R1_S2_B02""]",PL,10,104,"[1, 2, 2]",F2,71001,73201,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS73201_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS73202_BASE_FRESH50_v1,TRAIN,S,s2,CORE,ALWAYS,"[""FH20R1_S2_B03""]",PL,10,104,"[1, 2, 2]",F2,71001,73202,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS73202_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS73203_BASE_FRESH50_v1,TRAIN,S,s2,CORE,ALWAYS,"[""FH20R1_S2_B04""]",PL,10,104,"[1, 2, 2]",F2,71001,73203,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS73203_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS73204_BASE_FRESH50_v1,TRAIN,S,s2,CORE,ALWAYS,"[""FH20R1_S2_B05""]",PL,10,104,"[1, 2, 2]",F2,71001,73204,BASE,50000,FH12_S2_T_PL_W112_D123_WV3_S71001_FRESH50_v1,d2832f5a2d40536a859369c011063fe65794c0b7159c93ab23e9976bcb98a1b2,0.0001,3e-06,1.0,1.0,0.1,0.002,config/FH20R1_S2_S_PL_W104_D122_WV3_TF2_TS71001_SS73204_BASE_FRESH50_v1.yaml,PLANNED_NOT_REGISTERED
