server,cycle,position,seed,case_id,run_id,baseline_run_id,axis,value,alpha,beta,lambda_E,q_ref_scale,tau_R_scale,r_A,q_ref,tau_R_used,A_peak_lr,w_at_original_q_median,updates,primary,case_spec_sha256
s5,0,3,1234,TR05,SENS_G23_WV3_s5_C000000_TR05_S1234_F50K_v1,SENS_G23_WV3_s5_C000000_BASE_S1234_F50K_v1,tau_R_scale,0.5,1.0,0.1,0.002,1.0,0.5,0.03,0.3276133416220546,0.006231971085071564,3e-06,0.5,50000,EXACT_50000,bc31591c08726f2062dcea09ab9e685fefd00457355c89ac756f093954e020dc
s5,0,4,1234,TR20,SENS_G23_WV3_s5_C000000_TR20_S1234_F50K_v1,SENS_G23_WV3_s5_C000000_BASE_S1234_F50K_v1,tau_R_scale,2.0,1.0,0.1,0.002,1.0,2.0,0.03,0.3276133416220546,0.024927884340286255,3e-06,0.5,50000,EXACT_50000,eba8ce3b0a1c9c102e26fa11d4cb53452295934f897efe309bce70565313b3c6
s5,0,5,1234,RA01,SENS_G23_WV3_s5_C000000_RA01_S1234_F50K_v1,SENS_G23_WV3_s5_C000000_BASE_S1234_F50K_v1,r_A,0.01,1.0,0.1,0.002,1.0,1.0,0.01,0.3276133416220546,0.012463942170143127,1.0000000000000002e-06,0.5,50000,EXACT_50000,78bba8ed39de810cbf6fbc2fa46baddf8d359bca2499a30cd293909228e3a9fe
s5,0,6,1234,RA06,SENS_G23_WV3_s5_C000000_RA06_S1234_F50K_v1,SENS_G23_WV3_s5_C000000_BASE_S1234_F50K_v1,r_A,0.06,1.0,0.1,0.002,1.0,1.0,0.06,0.3276133416220546,0.012463942170143127,6e-06,0.5,50000,EXACT_50000,8ec9f6c6426289c96d31a55563588abb7d265ec9232114743c4eecddda6040e0
s4,1,0,2000000,BASE,SENS_G23_WV3_s4_C000001_BASE_S2000000_F50K_v1,SENS_G23_WV3_s4_C000001_BASE_S2000000_F50K_v1,baseline,,1.0,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,499beb23f3c2f7a87d4e2b3be863541efdc2c39d849719df1d5e38bdb99f847b
s4,1,1,2000000,BE020,SENS_G23_WV3_s4_C000001_BE020_S2000000_F50K_v1,SENS_G23_WV3_s4_C000001_BASE_S2000000_F50K_v1,beta,0.2,1.0,0.2,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,e7fa6d8541375b315b4bb333cbfdf5a4e054c4d1e9095229c3efdb61322f0cb2
s4,1,2,2000000,BE005,SENS_G23_WV3_s4_C000001_BE005_S2000000_F50K_v1,SENS_G23_WV3_s4_C000001_BASE_S2000000_F50K_v1,beta,0.05,1.0,0.05,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,f98df7afee28dc1d130f200a419cac07f4a5d7ac715cafe4db825ed40bdab51e
s4,1,3,2000000,ED006,SENS_G23_WV3_s4_C000001_ED006_S2000000_F50K_v1,SENS_G23_WV3_s4_C000001_BASE_S2000000_F50K_v1,lambda_E,0.006,1.0,0.1,0.006,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,466ac5460aeb0b61cfe5f4d401723036fd773cbfdb832a817993a91da4277881
s4,1,4,2000000,ED0006,SENS_G23_WV3_s4_C000001_ED0006_S2000000_F50K_v1,SENS_G23_WV3_s4_C000001_BASE_S2000000_F50K_v1,lambda_E,0.0006,1.0,0.1,0.0006,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,8d3478be077077b134c12ce15cdd874564575fb897a6171e7bad5ea38d66480d
s4,1,5,2000000,AL15,SENS_G23_WV3_s4_C000001_AL15_S2000000_F50K_v1,SENS_G23_WV3_s4_C000001_BASE_S2000000_F50K_v1,alpha,1.5,1.5,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,11640f5c6eb4205a72951078de23a0bb9578cbf16cf8b8ebf428beaa76fdab57
s4,1,6,2000000,AL05,SENS_G23_WV3_s4_C000001_AL05_S2000000_F50K_v1,SENS_G23_WV3_s4_C000001_BASE_S2000000_F50K_v1,alpha,0.5,0.5,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,a41fc38482b8e3d38f7947346844501af6432a4d77286123215b8f69968decaf
s5,1,0,2000000,BASE,SENS_G23_WV3_s5_C000001_BASE_S2000000_F50K_v1,SENS_G23_WV3_s5_C000001_BASE_S2000000_F50K_v1,baseline,,1.0,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,9585edda7d4b847af3e1d67e973a674cc073ffd5af854300cae7d93d75f3fef4
s5,1,1,2000000,TR20,SENS_G23_WV3_s5_C000001_TR20_S2000000_F50K_v1,SENS_G23_WV3_s5_C000001_BASE_S2000000_F50K_v1,tau_R_scale,2.0,1.0,0.1,0.002,1.0,2.0,0.03,0.3276133416220546,0.024927884340286255,3e-06,0.5,50000,EXACT_50000,04520429bcf0aecde9aeee91fe887af0a52f1b9433a33231b20a6093ffa5c701
s5,1,2,2000000,TR05,SENS_G23_WV3_s5_C000001_TR05_S2000000_F50K_v1,SENS_G23_WV3_s5_C000001_BASE_S2000000_F50K_v1,tau_R_scale,0.5,1.0,0.1,0.002,1.0,0.5,0.03,0.3276133416220546,0.006231971085071564,3e-06,0.5,50000,EXACT_50000,039cea6f747823c931f58179cb66cd9ee09b99cba61a846dfc6b6dec93614f7e
s5,1,3,2000000,RA06,SENS_G23_WV3_s5_C000001_RA06_S2000000_F50K_v1,SENS_G23_WV3_s5_C000001_BASE_S2000000_F50K_v1,r_A,0.06,1.0,0.1,0.002,1.0,1.0,0.06,0.3276133416220546,0.012463942170143127,6e-06,0.5,50000,EXACT_50000,5d09c43541f4e6bb9de03f3aeacc37209ca964fa6074bd7b3dec386d70147771
s5,1,4,2000000,RA01,SENS_G23_WV3_s5_C000001_RA01_S2000000_F50K_v1,SENS_G23_WV3_s5_C000001_BASE_S2000000_F50K_v1,r_A,0.01,1.0,0.1,0.002,1.0,1.0,0.01,0.3276133416220546,0.012463942170143127,1.0000000000000002e-06,0.5,50000,EXACT_50000,04d012889480f79d290dd624c45737cc8f309396c24debcde0c93f4037e8176f
s5,1,5,2000000,QR20,SENS_G23_WV3_s5_C000001_QR20_S2000000_F50K_v1,SENS_G23_WV3_s5_C000001_BASE_S2000000_F50K_v1,q_ref_scale,2.0,1.0,0.1,0.002,2.0,1.0,0.03,0.6552266832441092,0.012463942170143127,3e-06,0.6666666666666666,50000,EXACT_50000,a73cf28643d2fdb09134b22e1d58243ccffd9e8af02b47763b2304bbb5e628c2
s5,1,6,2000000,QR05,SENS_G23_WV3_s5_C000001_QR05_S2000000_F50K_v1,SENS_G23_WV3_s5_C000001_BASE_S2000000_F50K_v1,q_ref_scale,0.5,1.0,0.1,0.002,0.5,1.0,0.03,0.1638066708110273,0.012463942170143127,3e-06,0.3333333333333333,50000,EXACT_50000,8211e65b42d595963cbcaed064caf74791de470d79323a65b91b7da5fefeb1d7
s4,2,0,2000001,BASE,SENS_G23_WV3_s4_C000002_BASE_S2000001_F50K_v1,SENS_G23_WV3_s4_C000002_BASE_S2000001_F50K_v1,baseline,,1.0,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,eacc0a18755ff273dfc71d40ece57f2539f3382dc1a557faa2c4fd93d944a8d5
s4,2,1,2000001,ED0006,SENS_G23_WV3_s4_C000002_ED0006_S2000001_F50K_v1,SENS_G23_WV3_s4_C000002_BASE_S2000001_F50K_v1,lambda_E,0.0006,1.0,0.1,0.0006,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,159d129cf71e3ad9661dad915d9d1e0b6c32fe8e7a3dc68846e7895da3264021
s4,2,2,2000001,ED006,SENS_G23_WV3_s4_C000002_ED006_S2000001_F50K_v1,SENS_G23_WV3_s4_C000002_BASE_S2000001_F50K_v1,lambda_E,0.006,1.0,0.1,0.006,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,7620b8a6497e71634f06491e25a529acbb8d8487ffa64467104c00e7520c3614
s4,2,3,2000001,AL05,SENS_G23_WV3_s4_C000002_AL05_S2000001_F50K_v1,SENS_G23_WV3_s4_C000002_BASE_S2000001_F50K_v1,alpha,0.5,0.5,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,613d9743c4f2af736deb58e2e3847af05892976a8221805dd0f52e7b0ea8b9ec
s4,2,4,2000001,AL15,SENS_G23_WV3_s4_C000002_AL15_S2000001_F50K_v1,SENS_G23_WV3_s4_C000002_BASE_S2000001_F50K_v1,alpha,1.5,1.5,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,00598f3d0ad501e6ced1a81107d03640e83dbbfdc256f462a87d5e7155621d8e
s4,2,5,2000001,BE005,SENS_G23_WV3_s4_C000002_BE005_S2000001_F50K_v1,SENS_G23_WV3_s4_C000002_BASE_S2000001_F50K_v1,beta,0.05,1.0,0.05,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,571f60336fd4457373cdcbb27dc8fc2c91ea33cec604d722cc9e80623fe4448a
s4,2,6,2000001,BE020,SENS_G23_WV3_s4_C000002_BE020_S2000001_F50K_v1,SENS_G23_WV3_s4_C000002_BASE_S2000001_F50K_v1,beta,0.2,1.0,0.2,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,7e991ab86dca30b8515bf6cd26c431772d55beb009c84e178fb596e5aff6fa03
s5,2,0,2000001,BASE,SENS_G23_WV3_s5_C000002_BASE_S2000001_F50K_v1,SENS_G23_WV3_s5_C000002_BASE_S2000001_F50K_v1,baseline,,1.0,0.1,0.002,1.0,1.0,0.03,0.3276133416220546,0.012463942170143127,3e-06,0.5,50000,EXACT_50000,afc206224861c3916b00743ebb44cfbac29afb1e937df6bf44a6e95f43d7e27d
s5,2,1,2000001,RA01,SENS_G23_WV3_s5_C000002_RA01_S2000001_F50K_v1,SENS_G23_WV3_s5_C000002_BASE_S2000001_F50K_v1,r_A,0.01,1.0,0.1,0.002,1.0,1.0,0.01,0.3276133416220546,0.012463942170143127,1.0000000000000002e-06,0.5,50000,EXACT_50000,df19c760c599598d1b8ca5ce5100399bec5575465b508fcf2364e63cc3763dc4
s5,2,2,2000001,RA06,SENS_G23_WV3_s5_C000002_RA06_S2000001_F50K_v1,SENS_G23_WV3_s5_C000002_BASE_S2000001_F50K_v1,r_A,0.06,1.0,0.1,0.002,1.0,1.0,0.06,0.3276133416220546,0.012463942170143127,6e-06,0.5,50000,EXACT_50000,b6c882b43e522bd9a5ca836033139c6d0a2c955cf2505acd770f0ead13fc0e03
s5,2,3,2000001,QR05,SENS_G23_WV3_s5_C000002_QR05_S2000001_F50K_v1,SENS_G23_WV3_s5_C000002_BASE_S2000001_F50K_v1,q_ref_scale,0.5,1.0,0.1,0.002,0.5,1.0,0.03,0.1638066708110273,0.012463942170143127,3e-06,0.3333333333333333,50000,EXACT_50000,7e49dde1545fcc15fc324a809b3ed62c2e221376d6099eaea72a0c3b499d5b75
s5,2,4,2000001,QR20,SENS_G23_WV3_s5_C000002_QR20_S2000001_F50K_v1,SENS_G23_WV3_s5_C000002_BASE_S2000001_F50K_v1,q_ref_scale,2.0,1.0,0.1,0.002,2.0,1.0,0.03,0.6552266832441092,0.012463942170143127,3e-06,0.6666666666666666,50000,EXACT_50000,9b2c7d395ef3d489f7ed242fc5311916a63c5e6a232fb6511957ece541f1deef
s5,2,5,2000001,TR05,SENS_G23_WV3_s5_C000002_TR05_S2000001_F50K_v1,SENS_G23_WV3_s5_C000002_BASE_S2000001_F50K_v1,tau_R_scale,0.5,1.0,0.1,0.002,1.0,0.5,0.03,0.3276133416220546,0.006231971085071564,3e-06,0.5,50000,EXACT_50000,ffea78f302321d1e886fec92fa4629f3fd46c9b2d12829a2a33bd5433b1c0970
s5,2,6,2000001,TR20,SENS_G23_WV3_s5_C000002_TR20_S2000001_F50K_v1,SENS_G23_WV3_s5_C000002_BASE_S2000001_F50K_v1,tau_R_scale,2.0,1.0,0.1,0.002,1.0,2.0,0.03,0.3276133416220546,0.024927884340286255,3e-06,0.5,50000,EXACT_50000,d4755fb24ce49be0d5026d83e0fcf5737f6591766adcd1c4b81e047aa5d893ac
