server,cycle,position_in_cycle,seed,code,run_id,local_baseline_run_id,anchor,alpha,beta,lambda_E
s4,1,3,2100000,ED006,MAINAHQNR_S4_C000001_SS2100000_ED006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000001_SS2100000_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.006
s4,1,4,2100000,ED0006,MAINAHQNR_S4_C000001_SS2100000_ED0006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000001_SS2100000_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.0006
s4,1,5,2100000,AL15,MAINAHQNR_S4_C000001_SS2100000_AL15_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000001_SS2100000_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1.5,0.1,0.002
s4,1,6,2100000,AL05,MAINAHQNR_S4_C000001_SS2100000_AL05_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000001_SS2100000_BASE_PLH_W104_D122_F1_FRESH50_v1,false,0.5,0.1,0.002
s4,2,0,2100002,BASE,MAINAHQNR_S4_C000002_SS2100002_BASE_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000002_SS2100002_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.002
s4,2,1,2100002,ED0006,MAINAHQNR_S4_C000002_SS2100002_ED0006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000002_SS2100002_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.0006
s4,2,2,2100002,ED006,MAINAHQNR_S4_C000002_SS2100002_ED006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000002_SS2100002_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.006
s4,2,3,2100002,AL05,MAINAHQNR_S4_C000002_SS2100002_AL05_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000002_SS2100002_BASE_PLH_W104_D122_F1_FRESH50_v1,false,0.5,0.1,0.002
s4,2,4,2100002,AL15,MAINAHQNR_S4_C000002_SS2100002_AL15_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000002_SS2100002_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1.5,0.1,0.002
s4,2,5,2100002,BE005,MAINAHQNR_S4_C000002_SS2100002_BE005_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000002_SS2100002_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.05,0.002
s4,2,6,2100002,BE020,MAINAHQNR_S4_C000002_SS2100002_BE020_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S4_C000002_SS2100002_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.2,0.002
s5,0,0,2100001,BASE,MAINAHQNR_S5_C000000_SS2100001_BASE_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000000_SS2100001_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.002
s5,0,1,2100001,ED006,MAINAHQNR_S5_C000000_SS2100001_ED006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000000_SS2100001_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.006
s5,0,2,2100001,ED0006,MAINAHQNR_S5_C000000_SS2100001_ED0006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000000_SS2100001_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.0006
s5,0,3,2100001,AL15,MAINAHQNR_S5_C000000_SS2100001_AL15_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000000_SS2100001_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1.5,0.1,0.002
s5,0,4,2100001,AL05,MAINAHQNR_S5_C000000_SS2100001_AL05_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000000_SS2100001_BASE_PLH_W104_D122_F1_FRESH50_v1,false,0.5,0.1,0.002
s5,0,5,2100001,BE020,MAINAHQNR_S5_C000000_SS2100001_BE020_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000000_SS2100001_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.2,0.002
s5,0,6,2100001,BE005,MAINAHQNR_S5_C000000_SS2100001_BE005_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000000_SS2100001_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.05,0.002
s5,1,0,2100003,BASE,MAINAHQNR_S5_C000001_SS2100003_BASE_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000001_SS2100003_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.002
s5,1,1,2100003,AL05,MAINAHQNR_S5_C000001_SS2100003_AL05_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000001_SS2100003_BASE_PLH_W104_D122_F1_FRESH50_v1,false,0.5,0.1,0.002
s5,1,2,2100003,AL15,MAINAHQNR_S5_C000001_SS2100003_AL15_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000001_SS2100003_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1.5,0.1,0.002
s5,1,3,2100003,BE005,MAINAHQNR_S5_C000001_SS2100003_BE005_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000001_SS2100003_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.05,0.002
s5,1,4,2100003,BE020,MAINAHQNR_S5_C000001_SS2100003_BE020_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000001_SS2100003_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.2,0.002
s5,1,5,2100003,ED0006,MAINAHQNR_S5_C000001_SS2100003_ED0006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000001_SS2100003_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.0006
s5,1,6,2100003,ED006,MAINAHQNR_S5_C000001_SS2100003_ED006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000001_SS2100003_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.006
s5,2,0,2100005,BASE,MAINAHQNR_S5_C000002_SS2100005_BASE_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000002_SS2100005_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.002
s5,2,1,2100005,BE020,MAINAHQNR_S5_C000002_SS2100005_BE020_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000002_SS2100005_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.2,0.002
s5,2,2,2100005,BE005,MAINAHQNR_S5_C000002_SS2100005_BE005_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000002_SS2100005_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.05,0.002
s5,2,3,2100005,ED006,MAINAHQNR_S5_C000002_SS2100005_ED006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000002_SS2100005_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.006
s5,2,4,2100005,ED0006,MAINAHQNR_S5_C000002_SS2100005_ED0006_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000002_SS2100005_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1,0.1,0.0006
s5,2,5,2100005,AL15,MAINAHQNR_S5_C000002_SS2100005_AL15_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000002_SS2100005_BASE_PLH_W104_D122_F1_FRESH50_v1,false,1.5,0.1,0.002
s5,2,6,2100005,AL05,MAINAHQNR_S5_C000002_SS2100005_AL05_PLH_W104_D122_F1_FRESH50_v1,MAINAHQNR_S5_C000002_SS2100005_BASE_PLH_W104_D122_F1_FRESH50_v1,false,0.5,0.1,0.002
